,center_id,name,address,state_name,district_name,block_name,pincode,lat,long,from,to,fee_type,sessions,timestamp
0,515138,School No-18 Dariapur,Jorden RoadNr.Dariyapur Tower,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': '7d68cb57-5326-4d1a-b251-5f401ca2d587', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 03:53:50.842847
1,515141,Jamalpur Urdu Shala No 8,Mahajan No VandoJamalpur,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'ff03849e-1789-41db-8736-670a31cf899d', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 03:53:50.842847
2,644489,CITY SCHOOL KHIJADI NI POL,KHIJADI NI POL KHADIA,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,17:00:00,Free,"[{'session_id': '0bb19365-eaf2-4553-a02b-0ba0eefa01a5', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-09 03:53:50.842847
3,515534,Shahpur Urdu Shala-5,Nr Mehsaniya Vas Rangila Police Chowki Shahpur,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'cb779b9e-c7c5-4ff2-a78f-b34fdb30d7f6', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 03:53:50.842847
4,515146,Dariapur Municipal School No 8,Pitaliya Banba Gheekanta Road,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': '92f1a5f2-7c96-41c5-ad01-e146064f180e', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 03:53:50.842847
0,515138,School No-18 Dariapur,Jorden RoadNr.Dariyapur Tower,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': '7d68cb57-5326-4d1a-b251-5f401ca2d587', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 03:55:53.002927
1,515141,Jamalpur Urdu Shala No 8,Mahajan No VandoJamalpur,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'ff03849e-1789-41db-8736-670a31cf899d', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 03:55:53.002927
2,644489,CITY SCHOOL KHIJADI NI POL,KHIJADI NI POL KHADIA,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,17:00:00,Free,"[{'session_id': '0bb19365-eaf2-4553-a02b-0ba0eefa01a5', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-09 03:55:53.002927
3,515534,Shahpur Urdu Shala-5,Nr Mehsaniya Vas Rangila Police Chowki Shahpur,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'cb779b9e-c7c5-4ff2-a78f-b34fdb30d7f6', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 03:55:53.002927
4,515146,Dariapur Municipal School No 8,Pitaliya Banba Gheekanta Road,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': '92f1a5f2-7c96-41c5-ad01-e146064f180e', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 03:55:53.002927
0,515138,School No-18 Dariapur,Jorden RoadNr.Dariyapur Tower,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': '7d68cb57-5326-4d1a-b251-5f401ca2d587', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 03:57:56.641002
1,515141,Jamalpur Urdu Shala No 8,Mahajan No VandoJamalpur,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'ff03849e-1789-41db-8736-670a31cf899d', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 03:57:56.641002
2,644489,CITY SCHOOL KHIJADI NI POL,KHIJADI NI POL KHADIA,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,17:00:00,Free,"[{'session_id': '0bb19365-eaf2-4553-a02b-0ba0eefa01a5', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-09 03:57:56.641002
3,515534,Shahpur Urdu Shala-5,Nr Mehsaniya Vas Rangila Police Chowki Shahpur,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'cb779b9e-c7c5-4ff2-a78f-b34fdb30d7f6', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 03:57:56.641002
4,515146,Dariapur Municipal School No 8,Pitaliya Banba Gheekanta Road,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': '92f1a5f2-7c96-41c5-ad01-e146064f180e', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 03:57:56.641002
0,515138,School No-18 Dariapur,Jorden RoadNr.Dariyapur Tower,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': '7d68cb57-5326-4d1a-b251-5f401ca2d587', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:14:11.449409
1,515141,Jamalpur Urdu Shala No 8,Mahajan No VandoJamalpur,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'ff03849e-1789-41db-8736-670a31cf899d', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:14:11.449409
2,644489,CITY SCHOOL KHIJADI NI POL,KHIJADI NI POL KHADIA,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,17:00:00,Free,"[{'session_id': '0bb19365-eaf2-4553-a02b-0ba0eefa01a5', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-09 04:14:11.449409
3,515534,Shahpur Urdu Shala-5,Nr Mehsaniya Vas Rangila Police Chowki Shahpur,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'cb779b9e-c7c5-4ff2-a78f-b34fdb30d7f6', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:14:11.449409
4,515146,Dariapur Municipal School No 8,Pitaliya Banba Gheekanta Road,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': '92f1a5f2-7c96-41c5-ad01-e146064f180e', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:14:11.449409
0,515138,School No-18 Dariapur,Jorden RoadNr.Dariyapur Tower,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': '7d68cb57-5326-4d1a-b251-5f401ca2d587', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:16:14.382502
1,515141,Jamalpur Urdu Shala No 8,Mahajan No VandoJamalpur,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'ff03849e-1789-41db-8736-670a31cf899d', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:16:14.382502
2,644489,CITY SCHOOL KHIJADI NI POL,KHIJADI NI POL KHADIA,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,17:00:00,Free,"[{'session_id': '0bb19365-eaf2-4553-a02b-0ba0eefa01a5', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-09 04:16:14.382502
3,515534,Shahpur Urdu Shala-5,Nr Mehsaniya Vas Rangila Police Chowki Shahpur,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'cb779b9e-c7c5-4ff2-a78f-b34fdb30d7f6', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:16:14.382502
4,515146,Dariapur Municipal School No 8,Pitaliya Banba Gheekanta Road,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': '92f1a5f2-7c96-41c5-ad01-e146064f180e', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:16:14.382502
0,515138,School No-18 Dariapur,Jorden RoadNr.Dariyapur Tower,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': '7d68cb57-5326-4d1a-b251-5f401ca2d587', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:18:16.655411
1,515141,Jamalpur Urdu Shala No 8,Mahajan No VandoJamalpur,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'ff03849e-1789-41db-8736-670a31cf899d', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:18:16.655411
2,644489,CITY SCHOOL KHIJADI NI POL,KHIJADI NI POL KHADIA,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,17:00:00,Free,"[{'session_id': '0bb19365-eaf2-4553-a02b-0ba0eefa01a5', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-09 04:18:16.655411
3,515534,Shahpur Urdu Shala-5,Nr Mehsaniya Vas Rangila Police Chowki Shahpur,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'cb779b9e-c7c5-4ff2-a78f-b34fdb30d7f6', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:18:16.655411
4,515146,Dariapur Municipal School No 8,Pitaliya Banba Gheekanta Road,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': '92f1a5f2-7c96-41c5-ad01-e146064f180e', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:18:16.655411
0,515138,School No-18 Dariapur,Jorden RoadNr.Dariyapur Tower,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': '7d68cb57-5326-4d1a-b251-5f401ca2d587', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:20:22.214098
1,515141,Jamalpur Urdu Shala No 8,Mahajan No VandoJamalpur,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'ff03849e-1789-41db-8736-670a31cf899d', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:20:22.214098
2,644489,CITY SCHOOL KHIJADI NI POL,KHIJADI NI POL KHADIA,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,17:00:00,Free,"[{'session_id': '0bb19365-eaf2-4553-a02b-0ba0eefa01a5', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-09 04:20:22.214098
3,515534,Shahpur Urdu Shala-5,Nr Mehsaniya Vas Rangila Police Chowki Shahpur,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'cb779b9e-c7c5-4ff2-a78f-b34fdb30d7f6', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:20:22.214098
4,515146,Dariapur Municipal School No 8,Pitaliya Banba Gheekanta Road,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': '92f1a5f2-7c96-41c5-ad01-e146064f180e', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:20:22.214098
0,515138,School No-18 Dariapur,Jorden RoadNr.Dariyapur Tower,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': '7d68cb57-5326-4d1a-b251-5f401ca2d587', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:28:32.973509
1,515141,Jamalpur Urdu Shala No 8,Mahajan No VandoJamalpur,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'ff03849e-1789-41db-8736-670a31cf899d', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:28:32.973509
2,644489,CITY SCHOOL KHIJADI NI POL,KHIJADI NI POL KHADIA,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,17:00:00,Free,"[{'session_id': '0bb19365-eaf2-4553-a02b-0ba0eefa01a5', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-09 04:28:32.973509
3,515534,Shahpur Urdu Shala-5,Nr Mehsaniya Vas Rangila Police Chowki Shahpur,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'cb779b9e-c7c5-4ff2-a78f-b34fdb30d7f6', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:28:32.973509
4,515146,Dariapur Municipal School No 8,Pitaliya Banba Gheekanta Road,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': '92f1a5f2-7c96-41c5-ad01-e146064f180e', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:28:32.973509
0,515138,School No-18 Dariapur,Jorden RoadNr.Dariyapur Tower,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': '7d68cb57-5326-4d1a-b251-5f401ca2d587', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:30:35.606038
1,515141,Jamalpur Urdu Shala No 8,Mahajan No VandoJamalpur,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'ff03849e-1789-41db-8736-670a31cf899d', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:30:35.606038
2,644489,CITY SCHOOL KHIJADI NI POL,KHIJADI NI POL KHADIA,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,17:00:00,Free,"[{'session_id': '0bb19365-eaf2-4553-a02b-0ba0eefa01a5', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-09 04:30:35.606038
3,515534,Shahpur Urdu Shala-5,Nr Mehsaniya Vas Rangila Police Chowki Shahpur,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'cb779b9e-c7c5-4ff2-a78f-b34fdb30d7f6', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:30:35.606038
4,515146,Dariapur Municipal School No 8,Pitaliya Banba Gheekanta Road,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': '92f1a5f2-7c96-41c5-ad01-e146064f180e', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:30:35.606038
0,515138,School No-18 Dariapur,Jorden RoadNr.Dariyapur Tower,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': '7d68cb57-5326-4d1a-b251-5f401ca2d587', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:40:51.907014
1,515141,Jamalpur Urdu Shala No 8,Mahajan No VandoJamalpur,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'ff03849e-1789-41db-8736-670a31cf899d', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:40:51.907014
2,644489,CITY SCHOOL KHIJADI NI POL,KHIJADI NI POL KHADIA,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,17:00:00,Free,"[{'session_id': '0bb19365-eaf2-4553-a02b-0ba0eefa01a5', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-09 04:40:51.907014
3,515534,Shahpur Urdu Shala-5,Nr Mehsaniya Vas Rangila Police Chowki Shahpur,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'cb779b9e-c7c5-4ff2-a78f-b34fdb30d7f6', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:40:51.907014
4,515146,Dariapur Municipal School No 8,Pitaliya Banba Gheekanta Road,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': '92f1a5f2-7c96-41c5-ad01-e146064f180e', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:40:51.907014
0,515138,School No-18 Dariapur,Jorden RoadNr.Dariyapur Tower,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': '7d68cb57-5326-4d1a-b251-5f401ca2d587', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:43:00.936560
1,515141,Jamalpur Urdu Shala No 8,Mahajan No VandoJamalpur,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'ff03849e-1789-41db-8736-670a31cf899d', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:43:00.936560
2,644489,CITY SCHOOL KHIJADI NI POL,KHIJADI NI POL KHADIA,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,17:00:00,Free,"[{'session_id': '0bb19365-eaf2-4553-a02b-0ba0eefa01a5', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-09 04:43:00.936560
3,515534,Shahpur Urdu Shala-5,Nr Mehsaniya Vas Rangila Police Chowki Shahpur,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': 'cb779b9e-c7c5-4ff2-a78f-b34fdb30d7f6', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:43:00.936560
4,515146,Dariapur Municipal School No 8,Pitaliya Banba Gheekanta Road,Gujarat,Ahmedabad Corporation,Central Zone,380001,23,72,09:00:00,18:00:00,Free,"[{'session_id': '92f1a5f2-7c96-41c5-ad01-e146064f180e', 'date': '09-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 04:43:00.936560
